CustomerID,Customer,Segment,FirstOrderDate,LastOrderDate,LifetimeOrders,FirstOrderYear,OrderBand,OrderBandSort
AS-10630,Ann Steele,Home Office,2021-08-01,2024-09-29,7,2021,7+ orders,4
AT-10435,Alyssa Tate,Home Office,2021-12-27,2024-12-09,5,2021,4-6 orders,3
AT-10735,Annie Thurman,Consumer,2021-08-30,2024-12-17,10,2021,7+ orders,4
AW-10840,Anthony Witt,Consumer,2022-04-13,2024-12-10,4,2022,4-6 orders,3
AW-10930,Arthur Wiediger,Home Office,2021-07-14,2024-11-14,7,2021,7+ orders,4
AY-10555,Andy Yotov,Corporate,2021-04-06,2024-12-16,4,2021,4-6 orders,3
AZ-10750,Annie Zypern,Consumer,2021-03-17,2024-07-23,6,2021,4-6 orders,3
BB-10990,Barry Blumstein,Corporate,2021-07-27,2024-09-16,5,2021,4-6 orders,3
BB-11545,Brenda Bowman,Corporate,2022-06-05,2024-12-02,9,2022,7+ orders,4
BC-11125,Becky Castell,Home Office,2021-07-06,2024-06-11,9,2021,7+ orders,4
BD-11320,Bill Donatelli,Consumer,2022-05-31,2024-11-27,12,2022,7+ orders,4
BD-11500,Bradley Drucker,Consumer,2021-02-01,2024-11-25,6,2021,4-6 orders,3
BD-11560,Brendan Dodson,Home Office,2022-05-30,2024-03-27,2,2022,2-3 orders,2
BD-11605,Brian Dahlen,Consumer,2021-01-13,2024-09-24,6,2021,4-6 orders,3
BD-11620,Brian DeCherney,Consumer,2021-06-30,2024-10-22,6,2021,4-6 orders,3
BD-11635,Brian Derr,Consumer,2021-10-05,2024-12-21,3,2021,2-3 orders,2
BD-11725,Bruce Degenhardt,Consumer,2022-07-03,2024-09-28,6,2022,4-6 orders,3
BD-11770,Bryan Davis,Consumer,2023-03-10,2024-02-06,6,2023,4-6 orders,3
BE-11335,Bill Eplett,Home Office,2023-01-15,2024-09-02,5,2023,4-6 orders,3
BE-11410,Bobby Elias,Consumer,2023-02-07,2024-09-23,5,2023,4-6 orders,3
BE-11455,Brad Eason,Home Office,2022-08-02,2023-09-05,5,2022,4-6 orders,3
BF-10975,Barbara Fisher,Corporate,2021-07-14,2024-09-30,7,2021,7+ orders,4
BF-11005,Barry Franz,Home Office,2021-09-25,2024-11-21,4,2021,4-6 orders,3
BF-11020,Barry Französisch,Corporate,2021-02-15,2024-10-17,8,2021,7+ orders,4
BF-11080,Bart Folk,Consumer,2021-11-28,2024-12-05,3,2021,2-3 orders,2
BF-11170,Ben Ferrer,Home Office,2021-04-13,2024-12-14,11,2021,7+ orders,4
BF-11215,Benjamin Farhat,Home Office,2021-11-09,2024-10-26,4,2021,4-6 orders,3
BF-11275,Beth Fritzler,Corporate,2021-03-22,2024-11-03,3,2021,2-3 orders,2
BG-11035,Barry Gonzalez,Consumer,2021-11-05,2024-12-02,8,2021,7+ orders,4
BG-11695,Brooke Gillingham,Corporate,2021-05-11,2024-11-24,6,2021,4-6 orders,3
BG-11740,Bruce Geld,Consumer,2021-03-23,2024-11-03,6,2021,4-6 orders,3
BH-11710,Brosina Hoffman,Consumer,2021-06-09,2024-12-07,8,2021,7+ orders,4
BK-11260,Berenike Kampe,Consumer,2021-08-03,2024-10-14,6,2021,4-6 orders,3
BM-11140,Becky Martin,Consumer,2021-09-08,2024-02-26,4,2021,4-6 orders,3
BM-11575,Brendan Murry,Corporate,2022-09-15,2024-09-21,6,2022,4-6 orders,3
BM-11650,Brian Moss,Corporate,2021-07-09,2024-11-27,11,2021,7+ orders,4
BM-11785,Bryan Mills,Consumer,2021-06-06,2024-05-26,10,2021,7+ orders,4
BN-11470,Brad Norvell,Corporate,2021-09-12,2024-12-06,4,2021,4-6 orders,3
BN-11515,Bradley Nguyen,Consumer,2021-03-17,2024-12-21,5,2021,4-6 orders,3
BO-11350,Bill Overfelt,Corporate,2023-01-03,2024-08-15,5,2023,4-6 orders,3
BO-11425,Bobby Odegard,Consumer,2022-09-10,2024-10-16,2,2022,2-3 orders,2
BP-11050,Barry Pond,Corporate,2021-10-12,2024-10-08,5,2021,4-6 orders,3
BP-11095,Bart Pistole,Corporate,2021-06-07,2024-12-13,12,2021,7+ orders,4
BP-11155,Becky Pak,Consumer,2022-06-04,2024-10-02,6,2022,4-6 orders,3
BP-11185,Ben Peterman,Corporate,2022-03-24,2024-12-29,9,2022,7+ orders,4
BP-11230,Benjamin Patterson,Consumer,2021-04-20,2024-11-21,5,2021,4-6 orders,3
BP-11290,Beth Paige,Consumer,2021-10-03,2024-12-18,7,2021,7+ orders,4
BS-11365,Bill Shonely,Corporate,2021-05-04,2023-06-20,5,2021,4-6 orders,3
BS-11380,Bill Stewart,Corporate,2021-11-29,2024-12-02,5,2021,4-6 orders,3
BS-11590,Brendan Sweed,Corporate,2021-01-14,2024-11-25,6,2021,4-6 orders,3
BS-11665,Brian Stugart,Consumer,2021-06-23,2023-05-27,3,2021,2-3 orders,2
BS-11755,Bruce Stewart,Consumer,2021-05-18,2024-12-29,7,2021,7+ orders,4
BS-11800,Bryan Spruell,Home Office,2022-09-26,2024-04-09,2,2022,2-3 orders,2
BT-11305,Beth Thompson,Home Office,2021-04-25,2024-01-28,5,2021,4-6 orders,3
BT-11395,Bill Tyler,Corporate,2021-10-28,2024-03-03,6,2021,4-6 orders,3
BT-11440,Bobby Trafton,Consumer,2021-06-04,2023-06-18,4,2021,4-6 orders,3
BT-11485,Brad Thomas,Home Office,2022-12-27,2023-03-11,2,2022,2-3 orders,2
BT-11530,Bradley Talbott,Home Office,2021-05-21,2024-09-30,5,2021,4-6 orders,3
BT-11680,Brian Thompson,Consumer,2021-11-28,2024-12-10,7,2021,7+ orders,4
BV-11245,Benjamin Venier,Corporate,2022-03-26,2024-01-30,5,2022,4-6 orders,3
BW-11065,Barry Weirich,Consumer,2021-05-25,2024-06-01,3,2021,2-3 orders,2
BW-11110,Bart Watters,Corporate,2022-03-20,2024-08-31,8,2022,7+ orders,4
BW-11200,Ben Wallace,Consumer,2021-08-12,2024-06-10,6,2021,4-6 orders,3
CA-11965,Carol Adams,Corporate,2021-01-26,2024-09-25,6,2021,4-6 orders,3
CA-12055,Cathy Armstrong,Home Office,2022-09-05,2023-11-24,5,2022,4-6 orders,3
CA-12265,Christina Anderson,Consumer,2021-03-25,2024-11-04,8,2021,7+ orders,4
CA-12310,Christine Abelman,Corporate,2021-07-19,2024-12-17,4,2021,4-6 orders,3
CA-12775,Cynthia Arntzen,Consumer,2021-06-28,2024-09-01,7,2021,7+ orders,4
CB-12025,Cassandra Brandow,Consumer,2021-03-21,2024-11-13,9,2021,7+ orders,4
CB-12415,Christy Brittain,Consumer,2022-11-05,2024-12-04,8,2022,7+ orders,4
CB-12535,Claudia Bergmann,Corporate,2022-01-02,2024-06-16,8,2022,7+ orders,4
CC-12100,Chad Cunningham,Home Office,2021-12-16,2023-09-29,5,2021,4-6 orders,3
CC-12145,Charles Crestani,Consumer,2021-07-20,2024-09-15,7,2021,7+ orders,4
CC-12220,Chris Cortes,Consumer,2021-09-09,2024-12-10,11,2021,7+ orders,4
CC-12370,Christopher Conant,Consumer,2023-05-23,2024-11-17,5,2023,4-6 orders,3
CC-12430,Chuck Clark,Home Office,2022-09-06,2024-12-30,10,2022,7+ orders,4
CC-12475,Cindy Chapman,Consumer,2021-05-16,2024-11-21,9,2021,7+ orders,4
CC-12550,Clay Cheatham,Consumer,2024-06-15,2024-12-03,3,2024,2-3 orders,2
CC-12610,Corey Catlett,Corporate,2021-08-27,2024-11-26,7,2021,7+ orders,4
CC-12670,Craig Carreira,Consumer,2021-12-23,2024-12-01,7,2021,7+ orders,4
CC-12685,Craig Carroll,Consumer,2021-03-22,2022-10-23,4,2021,4-6 orders,3
CD-11920,Carlos Daly,Consumer,2021-03-24,2024-11-20,5,2021,4-6 orders,3
CD-11980,Carol Darley,Consumer,2023-11-24,2024-11-06,3,2023,2-3 orders,2
CD-12280,Christina DeMoss,Consumer,2024-11-05,2024-11-18,2,2024,2-3 orders,2
CD-12790,Cynthia Delaney,Home Office,2021-02-02,2023-11-26,5,2021,4-6 orders,3
CG-12040,Catherine Glotzbach,Home Office,2022-06-01,2024-11-11,6,2022,4-6 orders,3
CG-12520,Claire Gute,Consumer,2022-10-15,2024-01-26,3,2022,2-3 orders,2
CH-12070,Cathy Hwang,Home Office,2022-06-25,2023-02-08,3,2022,2-3 orders,2
CJ-11875,Carl Jackson,Corporate,2023-12-30,2023-12-30,1,2023,1 order,1
CJ-12010,Caroline Jumper,Consumer,2023-03-10,2024-06-24,8,2023,7+ orders,4
CK-12205,Chloris Kastensmidt,Consumer,2021-03-11,2024-11-21,13,2021,7+ orders,4
CK-12325,Christine Kargatis,Home Office,2021-03-14,2024-09-01,5,2021,4-6 orders,3
CK-12595,Clytie Kelty,Consumer,2021-12-26,2024-11-17,11,2021,7+ orders,4
CK-12760,Cyma Kinney,Corporate,2021-02-07,2024-10-09,9,2021,7+ orders,4
CL-11890,Carl Ludwig,Consumer,2021-07-26,2024-09-15,4,2021,4-6 orders,3
CL-12565,Clay Ludtke,Consumer,2021-03-04,2024-03-21,12,2021,7+ orders,4
CL-12700,Craig Leslie,Home Office,2023-04-24,2024-04-14,4,2023,4-6 orders,3
CM-11815,Candace McMahon,Corporate,2021-11-14,2024-08-21,6,2021,4-6 orders,3
CM-11935,Carlos Meador,Consumer,2022-09-24,2023-01-22,2,2022,2-3 orders,2
CM-12115,Chad McGuire,Consumer,2022-03-29,2024-12-22,4,2022,4-6 orders,3
CM-12160,Charles McCrossin,Consumer,2023-10-21,2024-12-04,6,2023,4-6 orders,3
CM-12190,Charlotte Melton,Consumer,2022-09-18,2024-12-22,6,2022,4-6 orders,3
CM-12235,Chris McAfee,Consumer,2023-05-01,2023-12-10,5,2023,4-6 orders,3
CM-12385,Christopher Martinez,Consumer,2022-03-16,2024-11-23,4,2022,4-6 orders,3
CM-12445,Chuck Magee,Consumer,2021-06-09,2023-10-20,3,2021,2-3 orders,2
CM-12655,Corinna Mitchell,Home Office,2022-11-03,2024-12-03,5,2022,4-6 orders,3
CM-12715,Craig Molinari,Corporate,2021-03-07,2022-03-01,4,2021,4-6 orders,3
CP-12085,Cathy Prescott,Corporate,2021-12-04,2024-10-09,8,2021,7+ orders,4
CP-12340,Christine Phan,Corporate,2021-03-17,2024-07-23,7,2021,7+ orders,4
CR-12580,Clay Rozendal,Home Office,2023-04-18,2024-11-03,4,2023,4-6 orders,3
CR-12625,Corey Roper,Home Office,2021-06-01,2023-09-16,3,2021,2-3 orders,2
CR-12730,Craig Reiter,Consumer,2021-08-20,2024-10-13,4,2021,4-6 orders,3
CR-12820,Cyra Reiten,Home Office,2022-01-24,2024-10-06,3,2022,2-3 orders,2
CS-11845,Cari Sayre,Corporate,2021-12-14,2024-09-30,5,2021,4-6 orders,3
CS-11860,Cari Schnelling,Consumer,2021-05-02,2024-07-21,6,2021,4-6 orders,3
CS-11950,Carlos Soltero,Consumer,2021-06-08,2024-12-05,11,2021,7+ orders,4
CS-12130,Chad Sievert,Consumer,2021-08-05,2023-08-28,4,2021,4-6 orders,3
CS-12175,Charles Sheldon,Corporate,2021-08-12,2024-05-12,5,2021,4-6 orders,3
CS-12250,Chris Selesnick,Corporate,2021-01-13,2024-12-04,12,2021,7+ orders,4
CS-12355,Christine Sundaresam,Consumer,2021-08-15,2024-12-24,11,2021,7+ orders,4
CS-12400,Christopher Schild,Home Office,2021-09-26,2024-12-28,9,2021,7+ orders,4
CS-12460,Chuck Sachs,Consumer,2024-07-03,2024-12-03,2,2024,2-3 orders,2
CS-12490,Cindy Schnelling,Corporate,2022-01-12,2023-11-01,4,2022,4-6 orders,3
CS-12505,Cindy Stewart,Consumer,2021-03-26,2024-11-02,6,2021,4-6 orders,3
CT-11995,Carol Triggs,Consumer,2021-05-07,2024-09-25,8,2021,7+ orders,4
CV-12295,Christina VanderZanden,Consumer,2021-03-28,2024-04-20,5,2021,4-6 orders,3
CV-12805,Cynthia Voltz,Corporate,2023-05-09,2024-12-25,9,2023,7+ orders,4
CW-11905,Carl Weiss,Home Office,2021-06-09,2024-12-08,6,2021,4-6 orders,3
CY-12745,Craig Yedwab,Corporate,2021-12-12,2024-10-31,7,2021,7+ orders,4
Co-12640,Corey-Lock,Consumer,2021-06-20,2023-06-29,5,2021,4-6 orders,3
DA-13450,Dianna Arnett,Home Office,2021-04-25,2024-01-12,4,2021,4-6 orders,3
DB-12910,Daniel Byrd,Home Office,2021-10-24,2024-12-09,8,2021,7+ orders,4
DB-12970,Darren Budd,Corporate,2021-11-12,2024-05-03,4,2021,4-6 orders,3
DB-13060,Dave Brooks,Consumer,2021-03-01,2024-12-14,6,2021,4-6 orders,3
DB-13120,David Bremer,Corporate,2022-05-01,2024-11-12,7,2022,7+ orders,4
DB-13210,Dean Braden,Consumer,2022-03-22,2024-12-21,10,2022,7+ orders,4
DB-13270,Deborah Brumfield,Home Office,2021-02-04,2024-11-07,8,2021,7+ orders,4
DB-13360,Dennis Bolton,Home Office,2021-11-19,2024-04-10,5,2021,4-6 orders,3
DB-13405,Denny Blanton,Consumer,2022-08-08,2024-06-26,4,2022,4-6 orders,3
DB-13555,Dorothy Badders,Corporate,2021-04-21,2024-09-14,7,2021,7+ orders,4
DB-13615,Doug Bickford,Consumer,2021-09-30,2024-11-27,7,2021,7+ orders,4
DB-13660,Duane Benoit,Consumer,2021-06-17,2024-12-18,7,2021,7+ orders,4
DC-12850,Dan Campbell,Consumer,2021-07-05,2024-11-23,9,2021,7+ orders,4
DC-13285,Debra Catini,Consumer,2021-12-29,2024-12-07,5,2021,4-6 orders,3
DD-13570,Dorothy Dickinson,Consumer,2021-03-31,2024-11-19,6,2021,4-6 orders,3
DE-13255,Deanra Eno,Home Office,2021-08-22,2023-01-11,5,2021,4-6 orders,3
DF-13135,David Flashing,Consumer,2021-10-04,2023-01-30,3,2021,2-3 orders,2
DG-13300,Deirdre Greer,Corporate,2021-11-01,2024-11-28,5,2021,4-6 orders,3
DH-13075,Dave Hallsten,Corporate,2021-11-21,2024-03-28,5,2021,4-6 orders,3
DH-13675,Duane Huffman,Home Office,2021-08-12,2022-11-15,4,2021,4-6 orders,3
DJ-13420,Denny Joy,Corporate,2021-12-08,2023-04-02,4,2021,4-6 orders,3
DJ-13510,Don Jones,Corporate,2021-08-17,2024-11-12,8,2021,7+ orders,4
DJ-13630,Doug Jacobs,Consumer,2022-12-14,2024-12-18,3,2022,2-3 orders,2
DK-12835,Damala Kotsonis,Corporate,2021-03-26,2024-12-09,12,2021,7+ orders,4
DK-12895,Dana Kaydos,Consumer,2022-03-08,2024-11-15,5,2022,4-6 orders,3
DK-12985,Darren Koutras,Consumer,2021-11-24,2024-12-23,5,2021,4-6 orders,3
DK-13090,Dave Kipp,Consumer,2022-03-02,2024-11-18,7,2022,7+ orders,4
DK-13150,David Kendrick,Corporate,2021-12-05,2024-12-20,2,2021,2-3 orders,2
DK-13225,Dean Katz,Corporate,2021-03-14,2024-12-20,9,2021,7+ orders,4
DK-13375,Dennis Kane,Consumer,2021-09-07,2024-12-11,8,2021,7+ orders,4
DL-12865,Dan Lawera,Consumer,2021-06-29,2024-09-21,7,2021,7+ orders,4
DL-12925,Daniel Lacy,Consumer,2021-09-09,2024-11-03,6,2021,4-6 orders,3
DL-13315,Delfina Latchford,Consumer,2021-01-16,2024-12-08,8,2021,7+ orders,4
DL-13330,Denise Leinenbach,Consumer,2021-06-23,2024-11-03,4,2021,4-6 orders,3
DL-13495,Dionis Lloyd,Corporate,2022-12-25,2024-10-15,8,2022,7+ orders,4
DM-12955,Dario Medina,Corporate,2021-09-30,2024-09-07,7,2021,7+ orders,4
DM-13015,Darrin Martin,Consumer,2021-09-14,2024-11-03,7,2021,7+ orders,4
DM-13345,Denise Monton,Corporate,2021-11-03,2024-12-08,8,2021,7+ orders,4
DM-13525,Don Miller,Corporate,2021-07-05,2023-09-05,3,2021,2-3 orders,2
DN-13690,Duane Noonan,Consumer,2021-09-20,2024-05-27,7,2021,7+ orders,4
DO-13435,Denny Ordway,Consumer,2021-10-03,2024-08-19,9,2021,7+ orders,4
DO-13645,Doug O'Connell,Consumer,2022-11-07,2024-12-04,7,2022,7+ orders,4
DP-13000,Darren Powers,Consumer,2021-01-03,2024-08-26,8,2021,7+ orders,4
DP-13105,Dave Poirier,Corporate,2022-08-22,2024-12-24,8,2022,7+ orders,4
DP-13165,David Philippe,Consumer,2021-12-02,2022-10-10,2,2021,2-3 orders,2
DP-13390,Dennis Pardue,Home Office,2021-07-05,2024-01-06,9,2021,7+ orders,4
DR-12880,Dan Reichenbach,Corporate,2022-09-25,2024-12-27,9,2022,7+ orders,4
DR-12940,Daniel Raglin,Home Office,2021-03-28,2024-11-10,8,2021,7+ orders,4
DS-13030,Darrin Sayre,Home Office,2021-07-09,2024-09-28,4,2021,4-6 orders,3
DS-13180,David Smith,Corporate,2021-04-28,2024-12-07,9,2021,7+ orders,4
DV-13045,Darrin Van Huff,Corporate,2023-06-12,2024-12-11,5,2023,4-6 orders,3
DV-13465,Dianna Vittorini,Consumer,2021-06-22,2024-12-01,5,2021,4-6 orders,3
DW-13195,David Wiener,Corporate,2021-01-18,2024-10-22,6,2021,4-6 orders,3
DW-13480,Dianna Wilson,Home Office,2021-06-01,2024-05-27,5,2021,4-6 orders,3
DW-13540,Don Weiss,Consumer,2023-02-27,2024-09-23,5,2023,4-6 orders,3
DW-13585,Dorothy Wardle,Corporate,2021-08-24,2024-05-02,7,2021,7+ orders,4
Dl-13600,Dorris liebe,Corporate,2021-03-30,2024-09-02,5,2021,4-6 orders,3
Dp-13240,Dean percer,Home Office,2021-05-26,2024-10-07,11,2021,7+ orders,4
EA-14035,Erin Ashbrook,Corporate,2021-09-13,2024-07-31,12,2021,7+ orders,4
EB-13705,Ed Braxton,Corporate,2021-07-08,2024-11-12,9,2021,7+ orders,4
EB-13750,Edward Becker,Corporate,2022-03-12,2024-11-25,10,2022,7+ orders,4
EB-13840,Ellis Ballard,Corporate,2021-05-30,2024-10-01,4,2021,4-6 orders,3
EB-13870,Emily Burns,Consumer,2021-05-05,2024-09-21,10,2021,7+ orders,4
EB-13930,Eric Barreto,Consumer,2021-02-02,2024-07-22,5,2021,4-6 orders,3
EB-13975,Erica Bern,Corporate,2023-01-04,2024-12-30,4,2023,4-6 orders,3
EB-14110,Eugene Barchas,Consumer,2022-04-13,2024-09-08,6,2022,4-6 orders,3
EB-14170,Evan Bailliet,Consumer,2021-09-29,2024-10-09,6,2021,4-6 orders,3
EC-14050,Erin Creighton,Consumer,2021-12-17,2024-11-07,5,2021,4-6 orders,3
ED-13885,Emily Ducich,Home Office,2021-08-09,2024-08-17,8,2021,7+ orders,4
EG-13900,Emily Grady,Consumer,2022-11-02,2024-12-08,5,2022,4-6 orders,3
EH-13765,Edward Hooks,Corporate,2021-10-18,2024-08-17,10,2021,7+ orders,4
EH-13945,Eric Hoffmann,Consumer,2021-07-02,2024-05-27,8,2021,7+ orders,4
EH-13990,Erica Hackney,Consumer,2021-01-15,2023-11-20,6,2021,4-6 orders,3
EH-14005,Erica Hernandez,Home Office,2021-05-13,2024-12-28,7,2021,7+ orders,4
EH-14125,Eugene Hildebrand,Home Office,2021-10-19,2024-07-31,10,2021,7+ orders,4
EH-14185,Evan Henry,Consumer,2021-05-22,2024-09-16,6,2021,4-6 orders,3
EJ-13720,Ed Jacobs,Consumer,2021-01-27,2024-03-03,4,2021,4-6 orders,3
EJ-14155,Eva Jacobs,Consumer,2021-03-03,2024-11-03,5,2021,4-6 orders,3
EK-13795,Eileen Kiefer,Home Office,2021-03-18,2024-11-16,4,2021,4-6 orders,3
EL-13735,Ed Ludwig,Home Office,2023-04-22,2024-10-14,2,2023,2-3 orders,2
EM-13810,Eleni McCrary,Corporate,2022-06-07,2024-08-20,5,2022,4-6 orders,3
EM-13825,Elizabeth Moffitt,Corporate,2021-12-02,2024-11-05,8,2021,7+ orders,4
EM-13960,Eric Murdock,Consumer,2022-10-01,2024-08-01,5,2022,4-6 orders,3
EM-14065,Erin Mull,Consumer,2021-07-22,2024-11-13,4,2021,4-6 orders,3
EM-14095,Eudokia Martin,Corporate,2022-08-07,2024-09-08,4,2022,4-6 orders,3
EM-14140,Eugene Moren,Home Office,2021-07-19,2024-11-12,6,2021,4-6 orders,3
EM-14200,Evan Minnotte,Home Office,2022-12-20,2024-07-25,3,2022,2-3 orders,2
EN-13780,Edward Nazzal,Consumer,2022-05-30,2024-03-18,4,2022,4-6 orders,3
EP-13915,Emily Phan,Consumer,2021-07-06,2024-12-18,17,2021,7+ orders,4
ER-13855,Elpida Rittenbach,Corporate,2022-12-21,2023-11-04,3,2022,2-3 orders,2
ES-14020,Erica Smith,Consumer,2021-09-20,2024-11-20,5,2021,4-6 orders,3
ES-14080,Erin Smith,Corporate,2021-10-02,2024-12-02,9,2021,7+ orders,4
FA-14230,Frank Atkinson,Corporate,2021-09-19,2024-09-24,7,2021,7+ orders,4
FC-14245,Frank Carlisle,Home Office,2022-06-13,2024-10-21,7,2022,7+ orders,4
FC-14335,Fred Chung,Corporate,2021-10-10,2024-06-29,7,2021,7+ orders,4
FG-14260,Frank Gastineau,Home Office,2021-05-21,2024-11-26,7,2021,7+ orders,4
FH-14275,Frank Hawley,Corporate,2021-04-06,2024-11-23,10,2021,7+ orders,4
FH-14350,Fred Harton,Consumer,2022-08-23,2024-06-01,4,2022,4-6 orders,3
FH-14365,Fred Hopkins,Corporate,2021-10-20,2024-12-25,8,2021,7+ orders,4
FM-14215,Filia McAdams,Corporate,2021-03-11,2024-12-23,10,2021,7+ orders,4
FM-14290,Frank Merwin,Home Office,2021-08-26,2024-11-24,9,2021,7+ orders,4
FM-14380,Fred McMath,Consumer,2022-07-12,2024-08-07,9,2022,7+ orders,4
FO-14305,Frank Olsen,Consumer,2021-06-09,2024-11-22,10,2021,7+ orders,4
FP-14320,Frank Preis,Consumer,2021-12-07,2024-12-07,8,2021,7+ orders,4
FW-14395,Fred Wasserman,Corporate,2022-03-22,2024-01-02,3,2022,2-3 orders,2
GA-14515,George Ashbrook,Consumer,2022-04-17,2024-08-03,5,2022,4-6 orders,3
GA-14725,Guy Armstrong,Consumer,2021-02-11,2024-12-25,11,2021,7+ orders,4
